Data File Name,Scale Name,Column Name,Reverse,Transform,Min,Max,Demonstration Avoidance,Demonstration Approach,Development
YADS-V,SAQ,SAQ_1,0,0,1,5,,,1
YADS-V,SAQ,SAQ_2,0,0,1,5,,,1
YADS-V,SAQ,SAQ_3,0,0,1,5,,,1
YADS-V,SAQ,SAQ_4,0,0,1,5,,,1
YADS-V,SAQ,SAQ_5,0,0,1,5,,,1
YADS-V,SAQ,SAQ_6,0,0,1,5,,,1
YADS-V,SAQ,SAQ_7,0,0,1,5,,,1
YADS-V,SAQ,SAQ_8,0,0,1,5,,,1
YADS-V,SAQ,SAQ_9,0,0,1,5,,1,
YADS-V,SAQ,SAQ_10,0,0,1,5,,1,
YADS-V,SAQ,SAQ_11,0,0,1,5,,1,
YADS-V,SAQ,SAQ_12,0,0,1,5,,1,
YADS-V,SAQ,SAQ_13,0,0,1,5,,1,
YADS-V,SAQ,SAQ_14,0,0,1,5,,1,
YADS-V,SAQ,SAQ_15,0,0,1,5,1,,
YADS-V,SAQ,SAQ_16,0,0,1,5,1,,
YADS-V,SAQ,SAQ_17,0,0,1,5,1,,
YADS-V,SAQ,SAQ_18,0,0,1,5,1,,
YADS-V,SAQ,SAQ_19,0,0,1,5,1,,
YADS-V,SAQ,SAQ_20,0,0,1,5,1,,
YADS-V,SAQ,SAQ_21,0,0,1,5,1,,
